INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (141, '브라우니', 'F42Q6I7', '조리법 24', '2023-11-23', '양식', '맛있는 브라우니 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (142, '오구르코바', 'F42Q6I7', '조리법 63', '2023-10-29', '양식', '맛있는 오구르코바 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (143, '팝콘', 'F42Q6I7', '조리법 43', '2023-10-6', '양식', '맛있는 팝콘 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (144, '칠라킬레', 'F42Q6I7', '조리법 43', '2023-5-11', '양식', '맛있는 칠라킬레 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (145, '츠비쉬타리', 'F42Q6I7', '조리법 35', '2023-1-15', '양식', '맛있는 츠비쉬타리 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (146, '에크멕', 'F42Q6I7', '조리법 68', '2023-11-20', '양식', '맛있는 에크멕 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (147, '팝콘', 'F42Q6I7', '조리법 30', '2023-2-22', '양식', '맛있는 팝콘 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (148, '캘리포니아 롤', 'F42Q6I7', '조리법 50', '2023-6-12', '양식', '맛있는 캘리포니아 롤 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (149, '당근 케이크', 'F42Q6I7', '조리법 8', '2023-10-12', '양식', '맛있는 당근 케이크 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (150, '과카몰레', 'F42Q6I7', '조리법 5', '2023-9-21', '양식', '맛있는 과카몰레 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (151, '즈라지', 'F42Q6I7', '조리법 58', '2023-7-4', '양식', '맛있는 즈라지 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (152, '누리예', 'F42Q6I7', '조리법 8', '2023-7-8', '양식', '맛있는 누리예 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (153, '오구르코바', 'F42Q6I7', '조리법 62', '2023-4-15', '양식', '맛있는 오구르코바 레시피!', 0, 0, 5);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (154, '오구르코바', 'F42Q6I7', '조리법 34', '2023-4-7', '양식', '맛있는 오구르코바 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (155, '마시멜로', 'F42Q6I7', '조리법 50', '2023-7-14', '양식', '맛있는 마시멜로 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (156, '플라츠키', 'F42Q6I7', '조리법 11', '2023-12-16', '양식', '맛있는 플라츠키 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (157, '머핀', 'F42Q6I7', '조리법 68', '2023-12-13', '양식', '맛있는 머핀 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (158, '랍스터 롤', 'F42Q6I7', '조리법 25', '2023-4-16', '양식', '맛있는 랍스터 롤 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (159, '도넛', 'F42Q6I7', '조리법 7', '2023-1-9', '양식', '맛있는 도넛 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (160, '쿠브다리', 'F42Q6I7', '조리법 44', '2023-2-23', '양식', '맛있는 쿠브다리 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (161, '팝콘', 'F42Q6I7', '조리법 23', '2023-9-19', '양식', '맛있는 팝콘 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (162, '카푸시니아크', 'F42Q6I7', '조리법 40', '2023-9-25', '양식', '맛있는 카푸시니아크 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (163, '므차디', 'F42Q6I7', '조리법 44', '2023-12-15', '양식', '맛있는 므차디 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (164, '플라키', 'F42Q6I7', '조리법 25', '2023-9-10', '양식', '맛있는 플라키 레시피!', 0, 0, 2);
