INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (236, '간사이', 'vf5ZiKm', '조리법 26', '2023-5-14', '일식', '맛있는 간사이 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (237, '일본식 중화요리', 'vf5ZiKm', '조리법 25', '2023-3-28', '일식', '맛있는 일본식 중화요리 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (238, '요이치', 'vf5ZiKm', '조리법 0', '2023-11-20', '일식', '맛있는 요이치 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (239, '군만두', 'vf5ZiKm', '조리법 23', '2023-11-1', '일식', '맛있는 군만두 레시피!', 0, 0, 5);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (240, '영국', 'vf5ZiKm', '조리법 3', '2023-9-17', '일식', '맛있는 영국 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (241, '빵가루', 'vf5ZiKm', '조리법 49', '2023-9-29', '일식', '맛있는 빵가루 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (242, '빵가루', 'vf5ZiKm', '조리법 22', '2023-11-19', '일식', '맛있는 빵가루 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (243, '맥주', 'vf5ZiKm', '조리법 33', '2023-6-10', '일식', '맛있는 맥주 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (244, '라멘', 'vf5ZiKm', '조리법 16', '2023-12-28', '일식', '맛있는 라멘 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (245, '떡', 'vf5ZiKm', '조리법 69', '2023-5-28', '일식', '맛있는 떡 레시피!', 0, 0, 5);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (246, '슈크림빵', 'vf5ZiKm', '조리법 8', '2023-12-12', '일식', '맛있는 슈크림빵 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (247, '전분', 'vf5ZiKm', '조리법 38', '2023-12-24', '일식', '맛있는 전분 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (248, '멜론빵', 'vf5ZiKm', '조리법 24', '2023-1-15', '일식', '맛있는 멜론빵 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (249, '맥주', 'vf5ZiKm', '조리법 63', '2023-5-6', '일식', '맛있는 맥주 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (250, '비프가스', 'vf5ZiKm', '조리법 29', '2023-4-25', '일식', '맛있는 비프가스 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (251, '쿠시카츠', 'vf5ZiKm', '조리법 69', '2023-5-12', '일식', '맛있는 쿠시카츠 레시피!', 0, 0, 5);
