INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (71, '훠궈', 'idZJhqf', '조리법 45', '2023-5-1', '중식', '맛있는 훠궈 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (72, '오향장육', 'idZJhqf', '조리법 29', '2023-1-8', '중식', '맛있는 오향장육 레시피!', 0, 0, 5);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (73, '쭝쯔', 'idZJhqf', '조리법 67', '2023-7-11', '중식', '맛있는 쭝쯔 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (74, '탕육사면', 'idZJhqf', '조리법 13', '2023-9-22', '중식', '맛있는 탕육사면 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (75, '백운저수', 'idZJhqf', '조리법 59', '2023-3-7', '중식', '맛있는 백운저수 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (76, '팔보채', 'idZJhqf', '조리법 63', '2023-4-16', '중식', '맛있는 팔보채 레시피!', 0, 0, 4);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (77, '감자볶음', 'idZJhqf', '조리법 63', '2023-7-14', '중식', '맛있는 감자볶음 레시피!', 0, 0, 1);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (78, '탄카오루양', 'idZJhqf', '조리법 53', '2023-10-4', '중식', '맛있는 탄카오루양 레시피!', 0, 0, 2);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (79, '북경 오리 구이', 'idZJhqf', '조리법 56', '2023-6-22', '중식', '맛있는 북경 오리 구이 레시피!', 0, 0, 3);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (80, '구수계', 'idZJhqf', '조리법 26', '2023-7-29', '중식', '맛있는 구수계 레시피!', 0, 0, 5);
INSERT INTO 레시피 (레시피번호, 제목, 작성자ID, 작성내용, 작성시간, 카테고리, 레시피설명, 조회수, 추천수, 난이도) VALUES (81, '멘보샤', 'idZJhqf', '조리법 43', '2023-8-6', '중식', '맛있는 멘보샤 레시피!', 0, 0, 2);
