INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-10-23', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-8-24', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-9', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-11-28', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-11-18', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-29', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-2-14', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-29', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-10-22', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-12-4', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-25', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-11-11', '너무 어려워요 ㅠㅠ', 'None');
